,predicted,predicted labal,true label,fold,iteration,index,model,encoding,smiles
111,-0.6086922975773961,0,0,0,0,0,sbMIL-linear,MACCS,Nc1ccccc1C(=O)OC/C=C/c1ccccc1
112,-0.16426261463649916,0,0,0,0,1,sbMIL-linear,MACCS,Nc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1
113,0.8418495919253325,1,0,0,0,2,sbMIL-linear,MACCS,Nc1c(O)cccc1[N+](=O)[O-]
114,-0.5232963162906628,0,0,0,0,3,sbMIL-linear,MACCS,Nc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O
115,-0.09021681628311573,0,0,0,0,4,sbMIL-linear,MACCS,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H](n4cnc5c(N)ncnc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)n1
116,-0.6873167185380537,0,0,0,0,5,sbMIL-linear,MACCS,Nc1ccccc1C(F)(F)F
117,-0.6010593847871198,0,0,0,0,6,sbMIL-linear,MACCS,Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O
118,-0.4219631566625913,0,0,0,0,7,sbMIL-linear,MACCS,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
119,0.024718842302233646,1,0,0,0,8,sbMIL-linear,MACCS,Nc1ccc2c(=O)[nH]sc2c1
120,-0.41407699419294597,0,0,0,0,9,sbMIL-linear,MACCS,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
121,-0.6046237366591489,0,0,0,0,10,sbMIL-linear,MACCS,Nc1ccc(C(=O)OCCCOC(=O)c2ccc(N)cc2)cc1
122,-0.36855935298034803,0,0,0,0,11,sbMIL-linear,MACCS,Nc1c(O)ccc2ccccc12
123,-0.3658059237606691,0,0,0,0,12,sbMIL-linear,MACCS,Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl
124,-0.4443434311245621,0,1,0,0,13,sbMIL-linear,MACCS,Nc1ccc(NOS(=O)(=O)O)cc1Cl
